month,year,v3,qu,cprice,tprice,incom,q1,q2,q3,q4,bprice,wprice,oprice
Sep 1993,1993,9,.75999999,11.35135,17.261259,1764.324,0,0,1,0,2.8198199,29.43243,1.11
Oct 1993,1993,10,.64999998,11.46847,17.42342,1785.288,0,0,0,1,2.8198199,29.43243,1.11
Nov 1993,1993,11,.70999998,11.35135,17.42342,1756.577,0,0,0,1,2.8738739,29.43243,1.11
Dec 1993,1993,12,.81,11.45455,17.58182,1889.755,0,0,0,1,3.090909,29.700001,1.1
Jan 1994,1994,1,.75999999,11.45455,17.58182,1805.027,1,0,0,0,3.1272731,29.927271,1.1
Feb 1994,1994,2,.58999997,11.9009,17.42342,1708.649,1,0,0,0,3.279279,29.65766,1.11
Mar 1994,1994,3,.58999997,11.90179,17.10714,1854.884,1,0,0,0,3.1875,29.39286,1.12
Apr 1994,1994,4,.76999998,11.90179,17.26786,1857.616,0,1,0,0,3.196429,29.36607,1.12
May 1994,1994,5,.67000002,11.90179,17.10714,1814.6429,0,1,0,0,3.3125,29.36607,1.12
Jun 1994,1994,6,.69999999,12.55357,17.10714,1883.098,0,1,0,0,3.3571429,29.36607,1.12
Jul 1994,1994,7,.76999998,13.95536,17.4375,1841.67,0,0,1,0,3.9553571,29.41964,1.12
Aug 1994,1994,8,.63,16.088499,17.45133,1797.46,0,0,1,0,4.8053098,29.15929,1.13
Sep 1994,1994,9,.61000001,16.30088,17.45133,1825.8409,0,0,1,0,4.9026551,29.15929,1.13
Oct 1994,1994,10,.74000001,17.219299,17.29825,1800.061,0,0,0,1,6.1403508,28.929819,1.14
Nov 1994,1994,11,.62,17.59292,17.45133,1815.6899,0,0,0,1,6.2920351,29.185841,1.13
Dec 1994,1994,12,.63,17.69912,17.45133,1928.673,0,0,0,1,6.2212391,29.185841,1.13
Jan 1995,1995,1,.66000003,16.513269,17.61062,1805.0179,1,0,0,0,6.353982,29.44248,1.13
Feb 1995,1995,2,.57999998,16.263161,17.29825,1708.184,1,0,0,0,5.8859649,29.18421,1.14
Mar 1995,1995,3,.61000001,16.263161,17.29825,1891.053,1,0,0,0,5.6315789,29.20175,1.14
Apr 1995,1995,4,.66000003,16.15789,17.456141,1843.0959,0,1,0,0,5.4736838,29.254391,1.14
May 1995,1995,5,.68000001,16.263161,17.456141,1847.5439,0,1,0,0,5.1929822,29.254391,1.14
Jun 1995,1995,6,.58999997,16.15789,17.29825,1931.465,0,1,0,0,5.1403508,29.280701,1.14
Jul 1995,1995,7,.63999999,16.263161,17.456141,1869.298,0,0,1,0,5.2017541,29.280701,1.14
Aug 1995,1995,8,.51999998,15.94737,17.62281,1849.412,0,0,1,0,5.1052632,29.280701,1.14
Sep 1995,1995,9,.81,15.49565,17.30435,1850.67,0,0,1,0,5.0956521,29.026091,1.15
Oct 1995,1995,10,.75,14.86087,17.46957,1825.391,0,0,0,1,5.0173912,29.05217,1.15
Nov 1995,1995,11,.70999998,14.54783,17.30435,1842.322,0,0,0,1,4.521739,29.05217,1.15
Dec 1995,1995,12,.85000002,14.54783,17.46957,1938.957,0,0,0,1,4.3304348,29.05217,1.15
Jan 1996,1996,1,.60000002,13.70435,17.30435,1867.826,1,0,0,0,4.173913,29.278259,1.15
Feb 1996,1996,2,.63999999,13.58621,17.15517,1795.802,1,0,0,0,3.9137931,29.02586,1.16
Mar 1996,1996,3,.58999997,13.47009,17.008551,1892.932,1,0,0,0,3.786325,28.79487,1.17
Apr 1996,1996,4,.74000001,13.35897,16.69231,1880.744,0,1,0,0,3.854701,29.01709,1.17
May 1996,1996,5,.58999997,13.35897,16.8547,1911.624,0,1,0,0,3.820513,29.01709,1.17
Jun 1996,1996,6,.67000002,13.58621,17,1948.733,0,1,0,0,4.1810341,29.267241,1.16
Jul 1996,1996,7,.63999999,13.35897,16.69231,1912.88,0,0,1,0,4.0769229,29.18803,1.17
Aug 1996,1996,8,.58999997,13.47414,16.83621,1917.5861,0,0,1,0,4,29.439659,1.16
Sep 1996,1996,9,.74000001,13.35897,16.69231,1849.684,0,0,1,0,3.974359,29.18803,1.17
Oct 1996,1996,10,.74000001,13.24576,16.38983,1897.059,0,0,0,1,3.8898311,28.991529,1.1799999
Nov 1996,1996,11,.72000003,13.04237,17.025419,1874.4659,0,0,0,1,3.788136,28.991529,1.1799999
Dec 1996,1996,12,.82999998,12.83898,17.177971,1946.78,0,0,0,1,3.737288,28.966101,1.1799999
